Repo	Size
freeCodeCamp/freeCodeCamp	522827
codecrafters-io/build-your-own-x	1054
sindresorhus/awesome	1506
EbookFoundation/free-programming-books	20431
public-apis/public-apis	4771
kamranahmedse/developer-roadmap	353066
jwasham/coding-interview-university	22700
donnemartin/system-design-primer	11239
996icu/996.ICU	189351
vinta/awesome-python	6842
awesome-selfhosted/awesome-selfhosted	16832
practical-tutorials/project-based-learning	438
facebook/react	1198385
TheAlgorithms/Python	15619
vuejs/vue	32152
torvalds/linux	5708686
ossu/computer-science	1767
trekhleb/javascript-algorithms	13564
tensorflow/tensorflow	1209865
trimstray/the-book-of-secret-knowledge	1748
getify/You-Dont-Know-JS	15060
CyC2018/CS-Notes	116179
ohmyzsh/ohmyzsh	13230
Significant-Gravitas/AutoGPT	292223
microsoft/vscode	1073412
twbs/bootstrap	262515
flutter/flutter	411484
jackfrued/Python-100-Days	396875
github/gitignore	2998
jlevy/the-art-of-command-line	2772
AUTOMATIC1111/stable-diffusion-webui	36441
avelino/awesome-go	11819
ollama/ollama	51410
Snailclimb/JavaGuide	177167
massgravel/Microsoft-Activation-Scripts	11842
huggingface/transformers	388890
n8n-io/n8n	277751
airbnb/javascript	3723
ytdl-org/youtube-dl	65432
f/awesome-chatgpt-prompts	1700
vercel/next.js	2382136
langflow-ai/langflow	905070
yangshun/tech-interview-handbook	32822
521xueweihan/HelloGitHub	8273
yt-dlp/yt-dlp	57509
golang/go	414141
Genymobile/scrcpy	7626
labuladong/fucking-algorithm	125383
Chalarangelo/30-seconds-of-code	742504
microsoft/PowerToys	451808
facebook/react-native	946444
electron/electron	183420
kubernetes/kubernetes	1417173
krahets/hello-algo	370903
langchain-ai/langchain	490000
langgenius/dify	139006
justjavac/free-programming-books-zh_CN	1059
nodejs/node	1346225
ripienaar/free-for-dev	9048
open-webui/open-webui	287324
d3/d3	59341
mrdoob/three.js	1521810
excalidraw/excalidraw	97040
axios/axios	21221
rust-lang/rust	790450
microsoft/TypeScript	2871769
DigitalPlatDev/FreeDomain	73
denoland/deno	183947
goldbergyoni/nodebestpractices	69535
facebook/create-react-app	25186
GrowingGit/GitHub-Chinese-Top-Charts	123199
godotengine/godot	1657040
microsoft/terminal	null
microsoft/generative-ai-for-beginners	null
rustdesk/rustdesk	null
deepseek-ai/DeepSeek-V3	null
fatedier/frp	null
papers-we-love/papers-we-love	null
angular/angular	null
Hack-with-Github/Awesome-Hacking	null
iptv-org/iptv	null
shadcn-ui/ui	null
tauri-apps/tauri	null
mui/material-ui	null
ant-design/ant-design	null
Anduin2017/HowToCook	null
nvbn/thefuck	null
ryanmcdermott/clean-code-javascript	null
pytorch/pytorch	null
neovim/neovim	null
mtdvio/every-programmer-should-know	null
iluwatar/java-design-patterns	null
puppeteer/puppeteer	null
microsoft/Web-Dev-For-Beginners	null
deepseek-ai/DeepSeek-R1	null
x1xhlol/system-prompts-and-models-of-ai-tools	null
comfyanonymous/ComfyUI	null
fastapi/fastapi	null
tailwindlabs/tailwindcss	null
supabase/supabase	null
